student_id,enrollment_id,student_name,date_of_birth,age,gender,grade_level,major,enrollment_date,graduation_date,enrollment_status,gpa,credits_completed,credits_required,attendance_rate_pct,course_id,course_name,instructor_name,course_grade,course_credits,semester,academic_year,tuition_eur,financial_aid_eur,scholarship_eur,loan_amount_eur,payment_status,extracurricular_activities,discipline_incidents,counseling_sessions,career_services_used,internship_completed,job_placement,starting_salary_eur,alumni_donor,created_at
STU-202300000,ENR-912394,Felix Wolf,2005-07-26,19,FEMALE,sophomore,Psychology,2025-07-20,02/11/2023,on_leave,3.22,7,122,90.9,CRS-3377,Advanced Chemistry,Prof. Mia Wagner,Withdrawn,1,SUMMER,2023-2024,3459.87,0.0,0.0,0.0,partial,Music,3,7,True,False,Employed,37516.48,True,2023-02-21 23:54:00
STU-202300001,ENR-818547,Anna Sowah,1999-04-14,27,non_binary,10,Business,2023-08-22,2024-06-01,graduated,3.97,59,123,76.94,CRS-3133,Advanced Mathematics,Prof. Anna Hoffmann,b_plus,5,Spring,2023-2024,8981.81,9663.49,1565.44,0.0,paid,debate,3,2,True,False,Employed,82507.76,True,2023-01-03 16:14:00
STU-202300002,ENR-244511,Felix Muller,2009-08-11,21,male,junior,Physics,2022-07-25,2023-09-21,active,3.39,48,172,55.44,CRS-9639,Advanced Art,Prof. Lukas Weber,b_minus,5,SPRING,2021-2022,1418.46,11110.74,0.0,34179.29,deferred,sports,4,6,False,True,Further Education,,False,2023-10-24 13:58:00
STU-202300003,ENR-605378,Leon Klein,1995-01-14,23,M,Graduate,undeclared,2022-04-18,07/28/2022,Active,1.9,160,177,95.26,CRS-5720,Intermediate Programming,Prof. Sarah Wolf,F,4,FALL,2022-2023,602.62,0.0,0.0,4965.01,paid,Volunteering,0,8,True,True,EMPLOYED,N/A,False,2023-04-03 22:50:00
STU-202300004,ENR-721858,Max Schulz,2010-09-28,28,non_binary,sophomore,Engineering,2022-05-21,2023-09-28,Suspended,242.5590622548881,125,145,74.11,CRS-2199,Applied Physics,Prof. Petra Klein,,4,Summer,2020-2021,9307.33,8770.6,0.0,0.0,partial,Sports,0,1,True,False,,87922.92,True,2023-08-05 16:18:00
STU-202300005,ENR-467074,Daniel Weber,04/07/2003,27,,,Economics,12/28/2023,2024-05-13,Graduated,1.47,155,167,93.27,CRS-5854,Intermediate Music,Prof. Lukas Koch,withdrawn,6,summer,2021-2022,6262.0,8026.99,9411.0,0.0,Overdue,Debate,4,1,True,False,,,False,2023-11-06 13:15:00
STU-202300006,ENR-538012,Daniel Schneider,2008-08-22,20,FEMALE,freshman,English,2021-10-13,01-07-2025,Withdrawn,1.06,0,179,88.79,CRS-8473,Applied Psychology,Prof. Andreas Schmidt,B+,6,FALL,2020-2021,12690.85,0.0,0.0,47677.06,partial,,4,20,False,False,Employed,47706.13,True,2023-10-07 16:19:00
STU-202300007,ENR-222473,Mia Osei,2006-07-20,25,male,Graduate,Psychology,2023-03-24,2022-12-12,on_leave,1.43,55,180,89.77,CRS-4881,Fundamentals of Economics,Prof. Andreas Koch,C+,6,spring,2021-2022,4989.91,9666.81,0.0,13721.63,Partial,music,3,5,False,False,EMPLOYED,60558.92,True,2023-05-04 15:27:00
STU-202300008,ENR-635655,Daniel Schmidt,1998-10-02,30,Male,graduate,Mathematics,2024-04-21,2022-09-02,Active,1.88,21,166,88.75,CRS-5211,Advanced Economics,Prof. Christina Muller,b,2,FALL,2023-2024,4268.12,849.13,5149.09,26350.68,paid,Debate,2,5,False,False,military,,False,2023-10-18 10:20:00
STU-202300009,ENR-653583,Daniel Schneider,2007-04-07,28,female,freshman,Undeclared,2022-08-22,19 Oct 2022,on_leave,2.12,28,160,79.79,CRS-4617,Advanced Art,Prof. Andreas Wolf,c_minus,6,Spring,2021-2022,14493.94,0.0,9059.26,0.0,partial,Music,4,14,False,True,military,,False,2023-11-01 09:17:00
