transaction_id,account_id,customer_id,customer_name,account_type,account_status,transaction_type,transaction_date,amount,currency,balance_after,transaction_channel,branch_city,merchant_name,payment_method,is_international,fee_amount,risk_score,fraud_flag,aml_check_status,kyc_status,credit_score,customer_segment,ip_address,created_at
TXN-20230000000,ACC-229636759,CUST-616210,Sabine Koch,Checking,Frozen,Transfer,2025-06-14,17101.85,PLN,400018.87,Mobile App,Hamburg,Amazon,SEPA,False,0.0,6.28,False,Failed,Pending,592.0,Premium,206.241.176.171,2023-01-13 12:32:00
TXN-20230000001,ACC-856806426,CUST-754810,Daniel Boateng,Loan,Frozen,Refund,2022-08-18,45026.38,USD,465001.78,Phone,Cologne,Shell,sepa,True,0.0,60.6,False,Passed,Expired,686.0,Private Banking,221.29.175.160,2023-02-26 08:58:00
TXN-20230000002,ACC-443163624,CUST-644966,Lukas Koch,Credit Card,Closed,Fee,2023-05-18,10658.79,EUR,491000.3,ATM,Stuttgart,Deutsche Bahn,Cash,True,0.0,97.67,False,Pending,Expired,763.0,Corporate,199.1.62.209,2023-07-10 15:28:00
TXN-20230000003,ACC-949045770,CUST-365821,Mia Weber,Credit Card,active,Interest,2023-09-22,-44113.52,PLN,272780.32,SEPA,Dresden,REWE,Bank Transfer,True,13.33,71.52,True,Pending,Pending,388.0,Business,1.156.52.54,2023-02-25 07:14:00
TXN-20230000004,ACC-696055802,CUST-161490,Hanna Muller,Mortgage,Closed,Transfer,2022-05-29,-38955.13,CHF,27235.91,Branch,Berlin,,Credit Card,True,7.44,51.16,True,Passed,verified,,Corporate,69.62.158.212,2023-03-05 05:06:00
TXN-20230000005,ACC-924805099,CUST-937791,Andreas Fischer,Credit Card,Closed,Deposit,2023-01-09,-49119.28,CHF,451486.74,SEPA,Bremen,Shell,Debit Card,False,2.12,29.34,True,Passed,verified,,Premium,249.185.119.164,2023-01-27 06:15:00
TXN-20230000006,ACC-686709111,CUST-150560,Lisa Osei,Investment,Frozen,Interest,2024-04-09,39414.51,GBP,322543.66,Phone,Dusseldorf,,Bank Transfer,True,0.0,79.04,True,Manual Review,verified,605.0,Premium,162.250.185.224,2023-12-01 01:14:00
TXN-20230000007,ACC-994438434,CUST-525733,Sabine Hoffmann,Checking,Active,Fee,07-08-2025,-28956.26,GBP,57208.18,Phone,Dusseldorf,Shell,Cash,True,16.59,51.44,True,Skipped,Not Required,687.0,Retail,149.62.75.5,2023-06-24 13:24:00
TXN-20230000008,ACC-874372765,CUST-665975,Andreas Mensah,Mortgage,ACTIVE,Payment,2023-04-25,17010.39,USD,478289.1,SEPA,Stuttgart,Amazon,Bank Transfer,False,0.0,96.52,True,Manual Review,Expired,,Corporate,202.91.74.166,2023-09-18 23:12:00
TXN-20230000009,ACC-904596408,CUST-633312,Thomas Boateng,Credit Card,ACTIVE,Deposit,2023-04-17,-10896.25,PLN,425953.12,Online,Dusseldorf,Netflix,sepa,True,12.95,1.82,False,passed,Pending,,Business,76.69.181.113,2023-05-25 00:19:00
TXN-20230000010,ACC-297144466,CUST-585490,David Bauer,Savings,Frozen,Interest,2024-07-31,-18359.6,EUR,265125.08,SEPA,Stuttgart,MediaMarkt,Cash,True,23.49,25.62,False,Manual Review,Pending,663.0,Retail,14.162.162.11,2023-05-11 04:31:00
TXN-20230000011,ACC-199523372,CUST-997854,Felix Mensah,Credit Card,ACTIVE,Transfer,2025-03-22,-2378.7,USD,159767.21,Phone,Dresden,Deutsche Bahn,Debit Card,False,13.43,71.95,False,Passed,Expired,317.0,Premium,77.115.164.98,2023-12-25 14:37:00
TXN-20230000012,ACC-320223330,CUST-580259,Anna Wagner,Investment,Active,Interest,2023-10-05,49842.64,EUR,319071.3,Phone,Munich,Netflix,Bank Transfer,True,0.0,64.58,False,passed,Not Required,778.0,Retail,170.109.99.125,2023-02-04 21:38:00
TXN-20230000013,ACC-242316628,CUST-340465,Christina Richter,Credit Card,Closed,Withdrawal,30/12/2024,-44911.36,CHF,385995.0,ATM,Stuttgart,Lidl,Credit Card,True,8.46,6.09,False,passed,verified,516.0,Business,69.107.185.230,2023-10-25 18:21:00
TXN-20230000014,ACC-760739816,CUST-897185,Thomas Meyer,Mortgage,active,Withdrawal,2025-03-02,-31936.33,EUR,422459.64,Branch,Hanover,Shell,Credit Card,False,0.0,76.25,False,Skipped,Not Required,,Private Banking,19.229.15.189,2023-04-13 20:11:00
TXN-20230000015,ACC-976918986,CUST-681980,Thomas Wolf,Credit Card,Frozen,Refund,2025-04-26,39295.93,EUR,98393.39,Phone,Cologne,Amazon,SEPA,False,0.0,74.66,False,Pending,Pending,590.0,Premium,33.119.191.165,2023-03-01 04:12:00
TXN-20230000016,ACC-298570875,CUST-508039,Leon Koch,Credit Card,Frozen,Interest,2023-09-25,7870.39,USD,479415.28,Online,Nuremberg,Shell,Credit Card,True,15.69,8.33,True,Skipped,Verified,343.0,Private Banking,207.192.100.19,2023-03-20 10:21:00
TXN-20230000017,ACC-372622354,CUST-119651,Lukas Sowah,Investment,Frozen,Fee,31 Dec 2023,44845.23,EUR,421266.24,Phone,Hamburg,Shell,sepa,False,0.0,31.84,True,Pending,Pending,,Private Banking,207.82.196.148,2023-07-05 17:56:00
TXN-20230000018,ACC-838102654,CUST-957353,David Schulz,Mortgage,ACTIVE,Transfer,2022-12-22,34047.29,USD,129391.79,Online,Berlin,Netflix,sepa,False,0.0,47.32,False,Manual Review,Not Required,,Corporate,55.254.53.213,2023-03-07 23:19:00
TXN-20230000019,ACC-154234572,CUST-178476,Petra Mensah,Loan,Dormant,Deposit,2022-05-16,11370.35,GBP,306659.62,ATM,Frankfurt,MediaMarkt,Credit Card,True,2.9,76.19,True,Manual Review,verified,846.0,Corporate,98.199.220.206,2023-10-07 10:36:00
TXN-20230000020,ACC-255706159,CUST-694107,Lisa Mensah,Loan,Active,Transfer,2025-05-02,-24625.29,PLN,339424.58,ATM,Cologne,NULL,SEPA,False,0.0,62.4,False,Passed,Not Required,,Private Banking,30.128.119.59,2023-08-14 09:13:00
TXN-20230000021,ACC-922355545,CUST-670457,Max Mensah,Mortgage,Closed,Interest,2025-12-28,-23279.66,PLN,321436.55,Online,Leipzig,Shell,Cash,True,3.34,5.56,False,Failed,Pending,814.0,Corporate,125.99.16.146,2023-12-23 12:40:00
TXN-20230000022,ACC-940719893,CUST-856233,Daniel Meyer,Checking,active,Interest,17/08/2023,-38676.15,EUR,335300.29,Direct Debit,Nuremberg,REWE,Cash,True,17.62,69.18,True,Manual Review,Expired,376.0,Retail,184.49.193.102,2023-03-02 21:56:00
TXN-20230000023,ACC-884855955,CUST-927201,Michael Schneider,Credit Card,Dormant,Transfer,2023-06-12,-17729.15,GBP,284602.16,Phone,Frankfurt,,Bank Transfer,True,0.0,77.13,True,Passed,Verified,,Business,159.166.7.154,2023-05-09 02:49:00
TXN-20230000024,ACC-452204995,CUST-801268,Sarah Boateng,Savings,Frozen,Payment,2023-10-21,46384.56,GBP,406255.2,Branch,Bremen,REWE,sepa,False,2.0,99.7,False,Pending,verified,688.0,Retail,186.179.244.164,2023-03-05 19:02:00
TXN-20230000025,ACC-324326798,CUST-654437,Sophie Agyeman,Credit Card,Dormant,Refund,2024-08-06,-18302.98,CHF,90612.01,Phone,Stuttgart,EDEKA,Debit Card,False,0.0,18.2,False,Manual Review,Not Required,746.0,Private Banking,155.101.28.19,2023-03-14 13:11:00
TXN-20230000026,ACC-156075288,CUST-940657,Sarah Agyeman,Checking,Active,Refund,10/10/2024,-7730.34,CHF,408892.46,ATM,Dortmund,Netflix,SEPA,False,16.37,86.06,True,Failed,Verified,,Private Banking,253.255.219.24,2023-03-04 06:43:00
TXN-20230000027,ACC-275294612,CUST-558083,Thomas Koch,Investment,Dormant,Withdrawal,10/07/2024,-49246.35,PLN,73077.94,Branch,Dresden,NULL,sepa,True,15.12,21.45,True,Skipped,verified,362.0,Private Banking,20.201.2.152,2023-10-01 15:49:00
TXN-20230000028,ACC-770296558,CUST-404087,Michael Schneider,Credit Card,Active,Refund,2025-07-12,-34489.78,USD,280621.55,Mobile App,Dusseldorf,EDEKA,Debit Card,True,0.0,87.75,False,Skipped,verified,,Retail,86.46.248.77,2023-09-21 01:52:00
TXN-20230000029,ACC-452586463,CUST-708526,Daniel Mensah,Checking,active,Withdrawal,2025-05-24,18129.46,EUR,88404.67,SEPA,Munich,Lidl,sepa,False,0.0,81.32,True,passed,Verified,772.0,Private Banking,48.159.181.185,2023-02-14 04:48:00
TXN-20230000030,ACC-725052321,CUST-729383,Michael Koch,Checking,ACTIVE,Payment,2023-06-27,11421.94,GBP,157712.53,Phone,Dresden,Netflix,Credit Card,True,0.0,40.11,False,Skipped,Not Required,,Private Banking,210.89.116.247,2023-10-27 15:42:00
TXN-20230000031,ACC-291139273,CUST-945426,Hanna Sowah,Mortgage,Frozen,Interest,2024-10-28,30563.49,USD,272421.69,Branch,Dusseldorf,Netflix,SEPA,True,0.0,42.13,False,Skipped,Expired,355.0,Private Banking,40.246.239.103,2023-12-17 06:27:00
