shipment_id,tracking_number,order_id,customer_id,customer_name,shipment_type,carrier,status,origin_city,origin_country,destination_city,destination_country,package_weight_kg,package_dimensions_cm,declared_value_eur,shipping_cost_eur,insurance_cost_eur,pickup_date,estimated_delivery_date,actual_delivery_date,warehouse_id,driver_id,distance_km,delivery_attempts,signature_required,customer_satisfaction_score,delay_reason,damage_reported,claim_filed,claim_amount_eur,co2_emissions_kg,is_international,created_at
SHP-202300000,TRK564397239452,ORD-1037076,CUST-777297,Max Mensah,Next Day,UPS,Out for Delivery,Berlin,Deutschland,Bremen,Netherlands,45.83,98x13x14,4088.03,22.91,0.0,2025-07-07,2024-02-23,25-06-2023,WH-CGN,DRV-4566,1492,5,False,,Weather,False,True,0.0,83.21,True,2023-10-10 02:48:00
SHP-202300001,TRK693936529454,ORD-1083283,CUST-792581,Anna Becker,Standard,DPD,Lost,Dusseldorf,GERMANY,Warsaw,France,23.57,117x78x34,2325.95,47.03,0.0,2024-08-13,01/11/2023,2025-12-17,WH-CGN,DRV-5730,1234,1,True,,Customs Delay,False,True,0.0,6.82,False,2023-06-07 04:38:00
SHP-202300002,TRK934047434283,ORD-5222356,CUST-252305,Leon Schmidt,Standard,FedEx,Delivered,Essen,Germany,Essen,Switzerland,19.03,41x15x72,4423.04,15.68,0.0,2022-02-12,2023-08-26,2022-09-03,WH-DRS,DRV-3319,1038,1,False,3.0,Customs Delay,False,False,0.0,29.85,False,2023-07-17 23:37:00
SHP-202300003,TRK249392322429,ORD-4467160,CUST-334941,Thomas Mensah,Standard,Amazon Logistics,Out for Delivery,Cologne,GERMANY,Munich,CH,24.31,50x35x30,464.58,79.17,0.0,2023-04-03,2025-12-28,2022-12-16,WH-DRS,DRV-4844,926,2,False,4.0,Traffic,True,False,703.96,84.77,False,2023-01-08 21:43:00
SHP-202300004,TRK275611159480,ORD-8925636,CUST-566318,David Wolf,Next Day,Amazon Logistics,Attempted,Bremen,DE,Leipzig,Poland,29.61,45x75x35,1949.13,25.21,N/A,26-06-2024,2025-04-29,2025-11-18,WH-MUC,DRV-2876,743,4,False,2.0,Traffic,True,False,0.0,54.08,False,2023-03-22 15:27:00
SHP-202300005,TRK327268795607,ORD-4619338,CUST-444111,Emma Meyer,Same Day,DHL,Pending,Duisburg,GERMANY,Hamburg,CH,33.22,13x83x8,2014.82,20.24,0.0,16 Feb 2022,09 Jan 2023,15/07/2025,WH-DRS,DRV-9510,122,1,True,,Weather,True,False,0.0,79.47,True,2023-12-04 08:44:00
SHP-202300006,TRK426188600262,ORD-6856003,CUST-433626,Christina Schneider,International,FedEx,Out for Delivery,Munich,Germany,Amsterdam,GERMANY,15.4,10x34x35,2994.55,38.29,23.4,2022-10-22,2023-01-13,2025-12-04,WH-BER,DRV-4861,1156,5,False,,,True,True,0.0,39.22,False,2023-01-02 11:12:00
SHP-202300007,TRK225560504819,ORD-9034314,CUST-602335,Christina Sowah,Next Day,UPS,delivered,Hamburg,Deutschland,Hanover,NL,6.75,115x34x59,1060.46,38.02,19.44,2023-02-26,2024-01-31,2025-08-30,WH-HAM,DRV-7038,1235,5,True,5.0,Incorrect Address,True,True,0.0,74.18,True,2023-09-03 10:31:00
SHP-202300008,TRK103797628393,ORD-6690807,CUST-673689,Mia Hoffmann,International,GLS,In Transit,Dresden,Deutschland,Hanover,PL,17.49,144x86x76,1779.32,31.97,0.0,2023-07-29,19 May 2023,2022-04-05,WH-MUC,DRV-1869,1036,3,True,4.0,Recipient Not Available,True,True,0.0,21.24,False,2023-11-06 06:11:00
SHP-202300009,TRK344169337384,ORD-7133699,CUST-845513,Petra Muller,Economy,Deutsche Post,Pending,Leipzig,Germany,Munich,DE,30.82,77x10x78,4669.99,14.93,0.0,2023-02-03,2022-08-21,2022-04-13,WH-FRA,DRV-5216,948,3,True,,Weather,False,True,0.0,35.59,True,2023-09-13 04:53:00
