event_id,ticket_id,order_id,customer_id,customer_name,customer_email,sport,event_type,event_name,venue_name,venue_city,event_date,event_time,section,row,seat_number,ticket_type,face_value_eur,service_fee_eur,total_price_eur,discount_applied_eur,final_price_eur,payment_method,payment_status,purchase_date,ticket_scanned,attendance_status,merchandise_amount_eur,food_beverage_amount_eur,total_spend_eur,customer_satisfaction_score,nps_score,complaint_filed,notes,created_at,updated_at
EVT-202300000,TKT-786579303,ORD-45517218,CUST-703329,Michael Hoffmann,fan97309@gmx.de,Basketball,Tournament,RB Leipzig 2024,Mercedes-Benz Arena,Leipzig,2025-07-20,11:15:00,West,K29,5,Standard,187.52,5.96,193.48,-,193.48,PayPal,PAID,2022-06-24,,late_arrival,193.81,68.92,456.21,3.0,,True,First time,2023-06-28 16:45:26,2025-08-10 07:49:53
EVT-202300001,TKT-219540831,ORD-37593013,CUST-984348,Sophie Schulz,fan57103@gmail.com,Football,League Game,BVB 2024,Red Bull Arena,Dortmund,2023-10-12,16:30:00,Block C,F18,33,Season Ticket,81.78,43.22,125.0,8.51,116.49,bank_transfer,Refunded,2024-01-08,False,attended,283.72,34.93,435.14,,,False,,2023-02-22 09:17:53,2025-03-26 00:14:42
EVT-202300002,TKT-126855092,ORD-55640969,CUST-821300,Thomas Weber,fan58859@outlook.com,Basketball,Playoff,FC Bayern 2024,O2 World Hamburg,Frankfurt,12 Dec 2023,14:00:00,Nord,Z8,41,vip,434.94,32.43,467.37,81.49,385.88,credit_card,Cancelled,2023-06-04,False,Unknown,133.85,56.21,575.94,,-34.0,True,First time,2023-07-06 06:45:51,2025-11-23 07:50:40
EVT-202300003,TKT-896233790,ORD-79934297,CUST-651579,Petra Sowah,fan50004@gmail.com,Football,Playoff,Concert Tour 2024,Volksparkstadion,Leipzig,2024-11-24,17:30:00,West,K17,5,Senior,326.88,7.79,334.67,11.89,322.78,Credit Card,failed,2023-09-03,,no_show,121.55,71.81,516.14,4.0,,False,Regular attendee,2023-08-12 13:11:20,2025-01-26 01:16:49
EVT-202300004,TKT-395310485,ORD-47194050,CUST-295999,Sophie Schulz,fan19054@example.com,Athletics,Championship,BVB 2024,Volksparkstadion,Berlin,2022-09-08,17:30:00,Circle,B32,31,Season Ticket,220.04,5.45,225.49,32.28,193.21,PayPal,failed,2023-09-21,True,Unknown,255.03,91.2,539.44,2.0,25.0,False,Corporate,2023-12-17 22:16:38,2025-02-17 14:09:13
EVT-202300005,TKT-362950628,ORD-87615164,CUST-977983,Michael Osei,fan19870@yahoo.com,Skiing,Championship,Bundesliga 2024,Lanxess Arena,Cologne,30/07/2024,17:30:00,Nord,S32,35,student,67.01,12.81,79.82,0.0,79.82,Invoice,failed,2022-05-16,True,early_departure,125.14,42.41,247.37,1.0,,False,Corporate,2023-10-21 13:34:22,2025-12-02 07:00:24
EVT-202300006,TKT-339670711,ORD-85486953,CUST-611158,Leon Osei,fan26681@yahoo.com,Swimming,Final,Comedy Show 2024,Olympiastadion Berlin,Dresden,2022-09-27,20:15:00,West,D33,10,Premium,327.77,29.91,357.68,0.0,357.68,paypal,Paid,2024-05-26,True,late_arrival,161.33,26.44,545.45,4.0,-32.0,False,Family,2023-09-26 22:49:03,2025-09-22 10:44:48
EVT-202300007,TKT-249827706,ORD-22290632,CUST-585546,Thomas Fischer,fan13114@example.com,Football,Tournament,DFB Pokal 2024,Allianz Arena,Leipzig,13/02/2022,11:30:00,Block A,L26,5,Box,399.87,12.46,412.33,62.74,349.59,bank_transfer,Failed,09/17/2024,,Early Departure,121.34,12.8,483.73,,2.0,True,Family,2023-05-07 07:18:15,2025-04-18 19:04:55
EVT-202300008,TKT-890779946,ORD-25094815,CUST-777771,Paul Weber,fan92096@web.de,Athletics,Final,Bundesliga 2024,SAP Arena,Dresden,2023-07-11,19:45:00,Haupttribune,R23,7,senior,428.93,5.25,434.18,0.0,434.18,invoice,pending,2023-02-12,False,no_show,206.96,69.28,710.42,4.0,,True,Regular attendee,2023-04-04 03:13:44,2025-03-27 05:32:16
EVT-202300009,TKT-210053353,ORD-79907940,CUST-926490,Paul Sowah,fan22257@gmx.de,Tennis,Festival,Champions League 2024,BayArena,Frankfurt,09-10-2024,16:30:00,Block C,F47,33,season_ticket,244.62,39.34,283.96,0.0,283.96,cash,failed,22-09-2025,False,Early Departure,229.86,1.87,515.69,5.0,-2.0,True,Season ticket holder,2023-02-18 18:02:37,2025-06-16 11:03:53
EVT-202300010,TKT-826600539,ORD-98291620,CUST-221265,Paul Schneider,-,Cycling,Festival,National Team 2024,Olympiastadion Berlin,Dresden,2023-06-17,16:30:00,Gegengerade,K26,13,Premium,57.22,30.22,87.44,0.0,87.44,PayPal,Pending,23 Sep 2025,,No-Show,280.87,77.31,445.62,1.0,-23.0,False,Family,2023-02-17 07:32:24,2025-05-26 20:17:16
